P_R_gene	speed
ENSMUSG00000013698	TRUE	0.344444444444444
ENSMUSG00000038034	TRUE	0.0236176194942199
ENSMUSG00000050229	FALSE	0
ENSMUSG00000037995	TRUE	0.37288460855041
ENSMUSG00000026547	FALSE	0
ENSMUSG00000005338	FALSE	0
ENSMUSG00000037860	TRUE	1.01749741970737
ENSMUSG00000028354	TRUE	4.775
ENSMUSG00000026526	TRUE	1.06756413928557
ENSMUSG00000026525	TRUE	0.643809523809524
ENSMUSG00000078185	FALSE	0
ENSMUSG00000039748	TRUE	0.474459026467103
ENSMUSG00000057335	TRUE	1.72822741166589
ENSMUSG00000026504	TRUE	14.5428571428571
ENSMUSG00000019699	TRUE	6.74782705001551
ENSMUSG00000063659	FALSE	0
ENSMUSG00000015961	FALSE	0
ENSMUSG00000091476	FALSE	0
ENSMUSG00000026495	TRUE	3.62044802867384
ENSMUSG00000055067	TRUE	1.95585177135559
ENSMUSG00000026492	TRUE	0.796563317146059
ENSMUSG00000038949	TRUE	1.86664644549763
ENSMUSG00000038936	TRUE	0.408582375478927
ENSMUSG00000087236	FALSE	0
ENSMUSG00000026491	FALSE	0
ENSMUSG00000026490	TRUE	2.07279659378555
ENSMUSG00000026489	FALSE	0
ENSMUSG00000010609	TRUE	1.25751965008057
ENSMUSG00000038855	TRUE	0.0854967643702342
ENSMUSG00000026496	FALSE	0
ENSMUSG00000058729	TRUE	1.09588636635678
ENSMUSG00000026499	TRUE	0.631940274715056
ENSMUSG00000060743	FALSE	0
ENSMUSG00000038806	FALSE	0
ENSMUSG00000066652	FALSE	0
ENSMUSG00000026520	FALSE	0
ENSMUSG00000026519	FALSE	0
ENSMUSG00000038776	FALSE	0
ENSMUSG00000026516	FALSE	0
ENSMUSG00000062169	TRUE	0.8793371996686
ENSMUSG00000038733	TRUE	0.713313989440137
ENSMUSG00000004880	FALSE	0
ENSMUSG00000022995	FALSE	0
ENSMUSG00000026511	FALSE	0
ENSMUSG00000038633	TRUE	0.137502489543916
ENSMUSG00000047539	TRUE	0.63033190752071
ENSMUSG00000026510	TRUE	1.32873042822109
ENSMUSG00000026509	TRUE	0.772866637128932
ENSMUSG00000038576	FALSE	0
ENSMUSG00000030768	TRUE	6.81976336528312
ENSMUSG00000046836	TRUE	0.740540540540541
ENSMUSG00000042901	FALSE	0
ENSMUSG00000056050	TRUE	0.544186744727164
ENSMUSG00000072258	TRUE	1.03243243243243
ENSMUSG00000039384	FALSE	0
ENSMUSG00000026621	FALSE	0
ENSMUSG00000073481	TRUE	1.599656715158
ENSMUSG00000026620	FALSE	0
ENSMUSG00000039318	TRUE	1.31686842425966
ENSMUSG00000026618	TRUE	1.03822954557794
ENSMUSG00000026617	TRUE	0.949833119383826
ENSMUSG00000026615	FALSE	0
ENSMUSG00000039246	TRUE	0.261333333333332
ENSMUSG00000001305	FALSE	0
ENSMUSG00000039210	TRUE	2.60453724195283
ENSMUSG00000026608	FALSE	0
ENSMUSG00000026605	TRUE	0.693669194797029
ENSMUSG00000026604	FALSE	0
ENSMUSG00000026603	TRUE	0.877547444316729
ENSMUSG00000089872	TRUE	1.27004069316036
ENSMUSG00000026634	TRUE	0.67027027027027
ENSMUSG00000037568	TRUE	0.547263864618781
ENSMUSG00000066595	TRUE	0.413783403656821
ENSMUSG00000026632	TRUE	0.710868014268728
ENSMUSG00000062510	FALSE	0
ENSMUSG00000026628	FALSE	0
ENSMUSG00000037499	TRUE	0.522222222222222
ENSMUSG00000026627	TRUE	0.850683470673776
ENSMUSG00000026626	FALSE	0
ENSMUSG00000037474	FALSE	0
ENSMUSG00000037461	TRUE	1.07659433830353
ENSMUSG00000026623	TRUE	2.39727959697733
ENSMUSG00000037395	TRUE	1.56216216216216
ENSMUSG00000016262	FALSE	0
ENSMUSG00000016200	TRUE	2.12022242923501
ENSMUSG00000016181	FALSE	0
ENSMUSG00000026638	TRUE	0.826255730030235
ENSMUSG00000079144	TRUE	0.0612062546537603
ENSMUSG00000016494	FALSE	0
ENSMUSG00000016481	TRUE	2.26387524033326
ENSMUSG00000050530	FALSE	0
ENSMUSG00000026643	TRUE	1.48265595925962
ENSMUSG00000049950	FALSE	0
ENSMUSG00000026648	TRUE	0.698535380271749
ENSMUSG00000026646	TRUE	0.870396586832154
ENSMUSG00000051396	FALSE	0
ENSMUSG00000039496	FALSE	0
ENSMUSG00000026655	TRUE	2.37814351547074
ENSMUSG00000026657	TRUE	3.32779427524707
ENSMUSG00000039449	TRUE	0.841794765267968
