Chromatin_PolyA	Chromatin_Total	Cytoplasm_PolyA	Cytoplasm_Total	Nucleoplasm_PolyA	Nucleoplasm_Total
ENSMUSG00000001288	5.17779306933165	4.16120775254427	5.8886323286514	5.81816308300825	5.10235448061604	4.64893506515496
ENSMUSG00000001289	4.32872983480091	3.00914496948179	6.09156938615737	5.62117313277454	4.70971030145228	3.7434829284606
ENSMUSG00000001300	3.03872260968126	2.45574105873411	2.7733661772676	2.47372836020227	3.43933736967885	3.557315432539
ENSMUSG00000001305	4.71549242541181	3.46955513887974	6.59620940917741	6.33914235262528	5.55552147792388	4.96433802814986
ENSMUSG00000001313	3.76228490215279	0	4.75475547191672	4.46859176861883	3.92178662693889	0
ENSMUSG00000001323	4.06075300861193	4.01694030406256	2.77882500601285	4.1805467070309	3.41697597432713	2.08748415692558
ENSMUSG00000001333	1.06370121170642	1.54901062378674	2.99734301714673	4.47409482967446	2.85376976372519	0
ENSMUSG00000001334	1.67087915246819	3.68279393202829	1.45848101971806	0	0.988857141283282	0
ENSMUSG00000001348	4.18995811440825	0.0727095149303428	4.12591486953645	0.0568460657871212	4.51248760548729	4.94736950617831
ENSMUSG00000001349	1.64938374090548	2.66253582759106	0.300439812034666	0	0.712550320624892	0
ENSMUSG00000001366	3.97977080945322	3.63707651852025	4.16411780541244	3.21753406461083	3.49348129083062	2.83283610413768
ENSMUSG00000001376	5.46177350917456	2.94319142839937	6.19356939365401	5.81513037575191	5.62099407042475	4.51019226293273
ENSMUSG00000001380	5.51740054173968	4.40069131769591	6.7793861408873	6.1739457105314	5.76504458179371	5.52016619502761
ENSMUSG00000001383	5.47668797973319	4.32849481488584	6.92432358505383	6.5492110059558	6.11014024791019	5.58499679233166
ENSMUSG00000001403	7.02121814767291	5.65787747054356	8.31650858741807	8.09852486047689	7.40830877251094	7.01711015583286
ENSMUSG00000001415	7.65610281976143	6.40113579710029	7.30361270685675	7.178484483893	6.84074092597491	6.53133864472858
ENSMUSG00000001416	7.17322547611097	3.84404518954223	8.92810850927859	8.6442497825644	7.9892080483828	7.5833548355874
ENSMUSG00000001418	5.42723556400741	5.40162625292308	5.03079101793714	3.39054502782688	5.922389483802	5.60654430463314
ENSMUSG00000001419	6.15032612004732	5.19361695095764	5.82368067900624	5.48451121414702	5.28602451046311	5.462523574231
ENSMUSG00000001420	2.30272400082909	1.27312435036254	2.62351510964369	3.48162494148195	2.57251721507963	2.85664151992262
ENSMUSG00000001424	7.09180044294169	6.74356305408963	7.96290511957133	7.77822720797673	7.97842334017091	7.70837959162802
ENSMUSG00000001435	8.2944570180162	7.09339044324728	7.55819393901551	7.51034693071798	8.83762843864031	8.62432460320312
ENSMUSG00000001436	5.16208305102001	0.409518101933122	4.9295821748305	4.84993474078024	5.49013738645681	5.21220339602965
ENSMUSG00000001440	7.96936942789583	7.52171166182862	9.09490550456779	9.11884718142636	8.45004344595518	8.44078941316819
ENSMUSG00000001441	7.12823636141419	5.81608430719778	7.54965033722916	7.32869372933814	7.2623336863254	7.01255238303306
ENSMUSG00000001444	2.92440707538571	2.27518870698666	4.09227643422147	3.39264750332261	3.22323020455593	2.39662233342898
ENSMUSG00000001445	6.17017981080342	5.17163497549178	6.68901825532039	6.47829862239745	6.17980379485049	5.76449189697032
ENSMUSG00000001467	5.98035359104955	5.44150754167418	6.37241642153428	6.37383385110421	7.04637623575077	6.70143361922699
ENSMUSG00000001472	7.4434604064124	5.93995676619349	5.0242093256484	5.21562593764901	6.13916454883106	5.42189223394138
ENSMUSG00000001473	5.10908831508319	4.13291085520911	6.71673964443656	6.49829928402025	5.64472527009803	5.39286369388115
ENSMUSG00000001482	5.78807906253748	0.000000178394271666696	6.61247646421362	6.0188204806853	5.84057433840979	4.9216542299349
ENSMUSG00000001496	0.491038405183984	1.91761257898062	0.308743220017959	0	0.642008584158872	1.5003784277832
ENSMUSG00000001497	1.40973796938565	2.65406545512628	1.29613089239595	0	0	2.163511628306
ENSMUSG00000001504	4.01876108634969	3.50380747071653	4.8329705101554	4.12789230204769	4.37350420900668	3.99083893809309
ENSMUSG00000001506	3.83563049387709	3.4431639857059	4.71426177286678	4.57547383006224	3.86771493755412	3.71814738221563
ENSMUSG00000001507	5.5673719225385	4.69597104971585	5.26949278325223	5.66450779068948	6.37171710047594	6.35716046337222
ENSMUSG00000001510	1.76086687791974	1.9195837382786	1.50508271860098	0	1.03729165672568	1.46526007174926
ENSMUSG00000001517	7.13007013228728	5.91720915572874	6.67853980940639	6.58050947077136	6.5717638999605	6.31320646501855
ENSMUSG00000001518	5.23102229807415	2.8423540891133	5.51244214521295	4.66798618940875	4.7502788260617	4.38796682091705
ENSMUSG00000001521	6.07132568672677	5.2844549069779	6.51934497227354	6.22496646914439	5.84741480682184	5.84367355613339
ENSMUSG00000001524	5.27300185672393	3.91356751914897	6.17635725797214	5.70288893332717	5.38721115299352	4.89660166310724
ENSMUSG00000001525	8.59070625696357	7.07842959101753	10.2731850045163	10.0837852847986	9.31282969289508	9.01172835089373
ENSMUSG00000001542	4.89145168294859	4.89560077309444	5.91656329537879	6.03992940497771	5.59265269582963	5.56827815617414
ENSMUSG00000001552	6.55554562564958	5.22282830835397	8.0799477962105	7.75466846808058	7.29749276429399	6.97343219110752
ENSMUSG00000001555	2.90389925961862	2.49414626507833	2.87648356641892	0	2.7712729248138	1.69726896211316
ENSMUSG00000001558	2.13345986038905	2.80690278484459	2.31369991188082	2.35911025015119	2.24566162592203	1.90625417458696
ENSMUSG00000001569	6.26458860809135	6.73607873666986	6.17997005100804	6.37300985804796	6.00203761356882	6.03419609858465
ENSMUSG00000001576	6.47829300100919	5.34485573821277	7.07167335106958	6.78861648262478	7.15466898363149	6.61164119912187
ENSMUSG00000001583	3.70459762503032	0	3.43377371536356	3.36974164047821	3.73685309731698	3.79960325179694
ENSMUSG00000001588	4.33990474024079	3.61226018718664	3.37122793679696	0	2.76785407182195	3.02540423381134
ENSMUSG00000001604	5.8126885817398	4.3547115256395	6.76243241719594	6.10709729621826	5.80134423474108	5.33501245108855
ENSMUSG00000001622	2.00042260020922	1.93003062064089	0	0	0.864505503130161	0
ENSMUSG00000001627	4.62691110865351	2.88219706479252	5.71949835326595	5.4284371213056	4.91142184872239	4.51812193446348
ENSMUSG00000001630	4.65719718852269	4.04923145526531	4.97459200622193	4.8738896375151	4.54566892504682	4.07610437462685
ENSMUSG00000001632	5.18052054857012	5.06913043661933	5.61230458531993	5.97475667711576	5.34309563274148	5.83727642502219
ENSMUSG00000001642	6.24731435911411	4.30844572748982	8.12085043250021	7.56816150206574	7.13559390913555	6.55541316749567
